"","species","flipper_length_mm"
"1","Adelie Penguin (Pygoscelis adeliae)",181
"2","Adelie Penguin (Pygoscelis adeliae)",186
"3","Adelie Penguin (Pygoscelis adeliae)",195
"4","Adelie Penguin (Pygoscelis adeliae)",193
"5","Adelie Penguin (Pygoscelis adeliae)",190
"6","Adelie Penguin (Pygoscelis adeliae)",181
"7","Adelie Penguin (Pygoscelis adeliae)",195
"8","Adelie Penguin (Pygoscelis adeliae)",193
"9","Adelie Penguin (Pygoscelis adeliae)",190
"10","Adelie Penguin (Pygoscelis adeliae)",186
"11","Adelie Penguin (Pygoscelis adeliae)",180
"12","Adelie Penguin (Pygoscelis adeliae)",182
"13","Adelie Penguin (Pygoscelis adeliae)",191
"14","Adelie Penguin (Pygoscelis adeliae)",198
"15","Adelie Penguin (Pygoscelis adeliae)",185
"16","Adelie Penguin (Pygoscelis adeliae)",195
"17","Adelie Penguin (Pygoscelis adeliae)",197
"18","Adelie Penguin (Pygoscelis adeliae)",184
"19","Adelie Penguin (Pygoscelis adeliae)",194
"20","Adelie Penguin (Pygoscelis adeliae)",174
"21","Adelie Penguin (Pygoscelis adeliae)",180
"22","Adelie Penguin (Pygoscelis adeliae)",189
"23","Adelie Penguin (Pygoscelis adeliae)",185
"24","Adelie Penguin (Pygoscelis adeliae)",180
"25","Adelie Penguin (Pygoscelis adeliae)",187
"26","Adelie Penguin (Pygoscelis adeliae)",183
"27","Adelie Penguin (Pygoscelis adeliae)",187
"28","Adelie Penguin (Pygoscelis adeliae)",172
"29","Adelie Penguin (Pygoscelis adeliae)",180
"30","Adelie Penguin (Pygoscelis adeliae)",178
"31","Adelie Penguin (Pygoscelis adeliae)",178
"32","Adelie Penguin (Pygoscelis adeliae)",188
"33","Adelie Penguin (Pygoscelis adeliae)",184
"34","Adelie Penguin (Pygoscelis adeliae)",195
"35","Adelie Penguin (Pygoscelis adeliae)",196
"36","Adelie Penguin (Pygoscelis adeliae)",190
"37","Adelie Penguin (Pygoscelis adeliae)",180
"38","Adelie Penguin (Pygoscelis adeliae)",181
"39","Adelie Penguin (Pygoscelis adeliae)",184
"40","Adelie Penguin (Pygoscelis adeliae)",182
"41","Adelie Penguin (Pygoscelis adeliae)",195
"42","Adelie Penguin (Pygoscelis adeliae)",186
"43","Adelie Penguin (Pygoscelis adeliae)",196
"44","Adelie Penguin (Pygoscelis adeliae)",185
"45","Adelie Penguin (Pygoscelis adeliae)",190
"46","Adelie Penguin (Pygoscelis adeliae)",182
"47","Adelie Penguin (Pygoscelis adeliae)",179
"48","Adelie Penguin (Pygoscelis adeliae)",190
"49","Adelie Penguin (Pygoscelis adeliae)",191
"50","Adelie Penguin (Pygoscelis adeliae)",186
"51","Adelie Penguin (Pygoscelis adeliae)",188
"52","Adelie Penguin (Pygoscelis adeliae)",190
"53","Adelie Penguin (Pygoscelis adeliae)",200
"54","Adelie Penguin (Pygoscelis adeliae)",187
"55","Adelie Penguin (Pygoscelis adeliae)",191
"56","Adelie Penguin (Pygoscelis adeliae)",186
"57","Adelie Penguin (Pygoscelis adeliae)",193
"58","Adelie Penguin (Pygoscelis adeliae)",181
"59","Adelie Penguin (Pygoscelis adeliae)",194
"60","Adelie Penguin (Pygoscelis adeliae)",185
"61","Adelie Penguin (Pygoscelis adeliae)",195
"62","Adelie Penguin (Pygoscelis adeliae)",185
"63","Adelie Penguin (Pygoscelis adeliae)",192
"64","Adelie Penguin (Pygoscelis adeliae)",184
"65","Adelie Penguin (Pygoscelis adeliae)",192
"66","Adelie Penguin (Pygoscelis adeliae)",195
"67","Adelie Penguin (Pygoscelis adeliae)",188
"68","Adelie Penguin (Pygoscelis adeliae)",190
"69","Adelie Penguin (Pygoscelis adeliae)",198
"70","Adelie Penguin (Pygoscelis adeliae)",190
"71","Adelie Penguin (Pygoscelis adeliae)",190
"72","Adelie Penguin (Pygoscelis adeliae)",196
"73","Adelie Penguin (Pygoscelis adeliae)",197
"74","Adelie Penguin (Pygoscelis adeliae)",190
"75","Adelie Penguin (Pygoscelis adeliae)",195
"76","Adelie Penguin (Pygoscelis adeliae)",191
"77","Adelie Penguin (Pygoscelis adeliae)",184
"78","Adelie Penguin (Pygoscelis adeliae)",187
"79","Adelie Penguin (Pygoscelis adeliae)",195
"80","Adelie Penguin (Pygoscelis adeliae)",189
"81","Adelie Penguin (Pygoscelis adeliae)",196
"82","Adelie Penguin (Pygoscelis adeliae)",187
"83","Adelie Penguin (Pygoscelis adeliae)",193
"84","Adelie Penguin (Pygoscelis adeliae)",191
"85","Adelie Penguin (Pygoscelis adeliae)",194
"86","Adelie Penguin (Pygoscelis adeliae)",190
"87","Adelie Penguin (Pygoscelis adeliae)",189
"88","Adelie Penguin (Pygoscelis adeliae)",189
"89","Adelie Penguin (Pygoscelis adeliae)",190
"90","Adelie Penguin (Pygoscelis adeliae)",202
"91","Adelie Penguin (Pygoscelis adeliae)",205
"92","Adelie Penguin (Pygoscelis adeliae)",185
"93","Adelie Penguin (Pygoscelis adeliae)",186
"94","Adelie Penguin (Pygoscelis adeliae)",187
"95","Adelie Penguin (Pygoscelis adeliae)",208
"96","Adelie Penguin (Pygoscelis adeliae)",190
"97","Adelie Penguin (Pygoscelis adeliae)",196
"98","Adelie Penguin (Pygoscelis adeliae)",178
"99","Adelie Penguin (Pygoscelis adeliae)",192
"100","Adelie Penguin (Pygoscelis adeliae)",192
"101","Adelie Penguin (Pygoscelis adeliae)",203
"102","Adelie Penguin (Pygoscelis adeliae)",183
"103","Adelie Penguin (Pygoscelis adeliae)",190
"104","Adelie Penguin (Pygoscelis adeliae)",193
"105","Adelie Penguin (Pygoscelis adeliae)",184
"106","Adelie Penguin (Pygoscelis adeliae)",199
"107","Adelie Penguin (Pygoscelis adeliae)",190
"108","Adelie Penguin (Pygoscelis adeliae)",181
"109","Adelie Penguin (Pygoscelis adeliae)",197
"110","Adelie Penguin (Pygoscelis adeliae)",198
"111","Adelie Penguin (Pygoscelis adeliae)",191
"112","Adelie Penguin (Pygoscelis adeliae)",193
"113","Adelie Penguin (Pygoscelis adeliae)",197
"114","Adelie Penguin (Pygoscelis adeliae)",191
"115","Adelie Penguin (Pygoscelis adeliae)",196
"116","Adelie Penguin (Pygoscelis adeliae)",188
"117","Adelie Penguin (Pygoscelis adeliae)",199
"118","Adelie Penguin (Pygoscelis adeliae)",189
"119","Adelie Penguin (Pygoscelis adeliae)",189
"120","Adelie Penguin (Pygoscelis adeliae)",187
"121","Adelie Penguin (Pygoscelis adeliae)",198
"122","Adelie Penguin (Pygoscelis adeliae)",176
"123","Adelie Penguin (Pygoscelis adeliae)",202
"124","Adelie Penguin (Pygoscelis adeliae)",186
"125","Adelie Penguin (Pygoscelis adeliae)",199
"126","Adelie Penguin (Pygoscelis adeliae)",191
"127","Adelie Penguin (Pygoscelis adeliae)",195
"128","Adelie Penguin (Pygoscelis adeliae)",191
"129","Adelie Penguin (Pygoscelis adeliae)",210
"130","Adelie Penguin (Pygoscelis adeliae)",190
"131","Adelie Penguin (Pygoscelis adeliae)",197
"132","Adelie Penguin (Pygoscelis adeliae)",193
"133","Adelie Penguin (Pygoscelis adeliae)",199
"134","Adelie Penguin (Pygoscelis adeliae)",187
"135","Adelie Penguin (Pygoscelis adeliae)",190
"136","Adelie Penguin (Pygoscelis adeliae)",191
"137","Adelie Penguin (Pygoscelis adeliae)",200
"138","Adelie Penguin (Pygoscelis adeliae)",185
"139","Adelie Penguin (Pygoscelis adeliae)",193
"140","Adelie Penguin (Pygoscelis adeliae)",193
"141","Adelie Penguin (Pygoscelis adeliae)",187
"142","Adelie Penguin (Pygoscelis adeliae)",188
"143","Adelie Penguin (Pygoscelis adeliae)",190
"144","Adelie Penguin (Pygoscelis adeliae)",192
"145","Adelie Penguin (Pygoscelis adeliae)",185
"146","Adelie Penguin (Pygoscelis adeliae)",190
"147","Adelie Penguin (Pygoscelis adeliae)",184
"148","Adelie Penguin (Pygoscelis adeliae)",195
"149","Adelie Penguin (Pygoscelis adeliae)",193
"150","Adelie Penguin (Pygoscelis adeliae)",187
"151","Adelie Penguin (Pygoscelis adeliae)",201
"152","Gentoo penguin (Pygoscelis papua)",211
"153","Gentoo penguin (Pygoscelis papua)",230
"154","Gentoo penguin (Pygoscelis papua)",210
"155","Gentoo penguin (Pygoscelis papua)",218
"156","Gentoo penguin (Pygoscelis papua)",215
"157","Gentoo penguin (Pygoscelis papua)",210
"158","Gentoo penguin (Pygoscelis papua)",211
"159","Gentoo penguin (Pygoscelis papua)",219
"160","Gentoo penguin (Pygoscelis papua)",209
"161","Gentoo penguin (Pygoscelis papua)",215
"162","Gentoo penguin (Pygoscelis papua)",214
"163","Gentoo penguin (Pygoscelis papua)",216
"164","Gentoo penguin (Pygoscelis papua)",214
"165","Gentoo penguin (Pygoscelis papua)",213
"166","Gentoo penguin (Pygoscelis papua)",210
"167","Gentoo penguin (Pygoscelis papua)",217
"168","Gentoo penguin (Pygoscelis papua)",210
"169","Gentoo penguin (Pygoscelis papua)",221
"170","Gentoo penguin (Pygoscelis papua)",209
"171","Gentoo penguin (Pygoscelis papua)",222
"172","Gentoo penguin (Pygoscelis papua)",218
"173","Gentoo penguin (Pygoscelis papua)",215
"174","Gentoo penguin (Pygoscelis papua)",213
"175","Gentoo penguin (Pygoscelis papua)",215
"176","Gentoo penguin (Pygoscelis papua)",215
"177","Gentoo penguin (Pygoscelis papua)",215
"178","Gentoo penguin (Pygoscelis papua)",216
"179","Gentoo penguin (Pygoscelis papua)",215
"180","Gentoo penguin (Pygoscelis papua)",210
"181","Gentoo penguin (Pygoscelis papua)",220
"182","Gentoo penguin (Pygoscelis papua)",222
"183","Gentoo penguin (Pygoscelis papua)",209
"184","Gentoo penguin (Pygoscelis papua)",207
"185","Gentoo penguin (Pygoscelis papua)",230
"186","Gentoo penguin (Pygoscelis papua)",220
"187","Gentoo penguin (Pygoscelis papua)",220
"188","Gentoo penguin (Pygoscelis papua)",213
"189","Gentoo penguin (Pygoscelis papua)",219
"190","Gentoo penguin (Pygoscelis papua)",208
"191","Gentoo penguin (Pygoscelis papua)",208
"192","Gentoo penguin (Pygoscelis papua)",208
"193","Gentoo penguin (Pygoscelis papua)",225
"194","Gentoo penguin (Pygoscelis papua)",210
"195","Gentoo penguin (Pygoscelis papua)",216
"196","Gentoo penguin (Pygoscelis papua)",222
"197","Gentoo penguin (Pygoscelis papua)",217
"198","Gentoo penguin (Pygoscelis papua)",210
"199","Gentoo penguin (Pygoscelis papua)",225
"200","Gentoo penguin (Pygoscelis papua)",213
"201","Gentoo penguin (Pygoscelis papua)",215
"202","Gentoo penguin (Pygoscelis papua)",210
"203","Gentoo penguin (Pygoscelis papua)",220
"204","Gentoo penguin (Pygoscelis papua)",210
"205","Gentoo penguin (Pygoscelis papua)",225
"206","Gentoo penguin (Pygoscelis papua)",217
"207","Gentoo penguin (Pygoscelis papua)",220
"208","Gentoo penguin (Pygoscelis papua)",208
"209","Gentoo penguin (Pygoscelis papua)",220
"210","Gentoo penguin (Pygoscelis papua)",208
"211","Gentoo penguin (Pygoscelis papua)",224
"212","Gentoo penguin (Pygoscelis papua)",208
"213","Gentoo penguin (Pygoscelis papua)",221
"214","Gentoo penguin (Pygoscelis papua)",214
"215","Gentoo penguin (Pygoscelis papua)",231
"216","Gentoo penguin (Pygoscelis papua)",219
"217","Gentoo penguin (Pygoscelis papua)",230
"218","Gentoo penguin (Pygoscelis papua)",214
"219","Gentoo penguin (Pygoscelis papua)",229
"220","Gentoo penguin (Pygoscelis papua)",220
"221","Gentoo penguin (Pygoscelis papua)",223
"222","Gentoo penguin (Pygoscelis papua)",216
"223","Gentoo penguin (Pygoscelis papua)",221
"224","Gentoo penguin (Pygoscelis papua)",221
"225","Gentoo penguin (Pygoscelis papua)",217
"226","Gentoo penguin (Pygoscelis papua)",216
"227","Gentoo penguin (Pygoscelis papua)",230
"228","Gentoo penguin (Pygoscelis papua)",209
"229","Gentoo penguin (Pygoscelis papua)",220
"230","Gentoo penguin (Pygoscelis papua)",215
"231","Gentoo penguin (Pygoscelis papua)",223
"232","Gentoo penguin (Pygoscelis papua)",212
"233","Gentoo penguin (Pygoscelis papua)",221
"234","Gentoo penguin (Pygoscelis papua)",212
"235","Gentoo penguin (Pygoscelis papua)",224
"236","Gentoo penguin (Pygoscelis papua)",212
"237","Gentoo penguin (Pygoscelis papua)",228
"238","Gentoo penguin (Pygoscelis papua)",218
"239","Gentoo penguin (Pygoscelis papua)",218
"240","Gentoo penguin (Pygoscelis papua)",212
"241","Gentoo penguin (Pygoscelis papua)",230
"242","Gentoo penguin (Pygoscelis papua)",218
"243","Gentoo penguin (Pygoscelis papua)",228
"244","Gentoo penguin (Pygoscelis papua)",212
"245","Gentoo penguin (Pygoscelis papua)",224
"246","Gentoo penguin (Pygoscelis papua)",214
"247","Gentoo penguin (Pygoscelis papua)",226
"248","Gentoo penguin (Pygoscelis papua)",216
"249","Gentoo penguin (Pygoscelis papua)",222
"250","Gentoo penguin (Pygoscelis papua)",203
"251","Gentoo penguin (Pygoscelis papua)",225
"252","Gentoo penguin (Pygoscelis papua)",219
"253","Gentoo penguin (Pygoscelis papua)",228
"254","Gentoo penguin (Pygoscelis papua)",215
"255","Gentoo penguin (Pygoscelis papua)",228
"256","Gentoo penguin (Pygoscelis papua)",216
"257","Gentoo penguin (Pygoscelis papua)",215
"258","Gentoo penguin (Pygoscelis papua)",210
"259","Gentoo penguin (Pygoscelis papua)",219
"260","Gentoo penguin (Pygoscelis papua)",208
"261","Gentoo penguin (Pygoscelis papua)",209
"262","Gentoo penguin (Pygoscelis papua)",216
"263","Gentoo penguin (Pygoscelis papua)",229
"264","Gentoo penguin (Pygoscelis papua)",213
"265","Gentoo penguin (Pygoscelis papua)",230
"266","Gentoo penguin (Pygoscelis papua)",217
"267","Gentoo penguin (Pygoscelis papua)",230
"268","Gentoo penguin (Pygoscelis papua)",217
"269","Gentoo penguin (Pygoscelis papua)",222
"270","Gentoo penguin (Pygoscelis papua)",214
"271","Gentoo penguin (Pygoscelis papua)",215
"272","Gentoo penguin (Pygoscelis papua)",222
"273","Gentoo penguin (Pygoscelis papua)",212
"274","Gentoo penguin (Pygoscelis papua)",213
"275","Chinstrap penguin (Pygoscelis antarctica)",192
"276","Chinstrap penguin (Pygoscelis antarctica)",196
"277","Chinstrap penguin (Pygoscelis antarctica)",193
"278","Chinstrap penguin (Pygoscelis antarctica)",188
"279","Chinstrap penguin (Pygoscelis antarctica)",197
"280","Chinstrap penguin (Pygoscelis antarctica)",198
"281","Chinstrap penguin (Pygoscelis antarctica)",178
"282","Chinstrap penguin (Pygoscelis antarctica)",197
"283","Chinstrap penguin (Pygoscelis antarctica)",195
"284","Chinstrap penguin (Pygoscelis antarctica)",198
"285","Chinstrap penguin (Pygoscelis antarctica)",193
"286","Chinstrap penguin (Pygoscelis antarctica)",194
"287","Chinstrap penguin (Pygoscelis antarctica)",185
"288","Chinstrap penguin (Pygoscelis antarctica)",201
"289","Chinstrap penguin (Pygoscelis antarctica)",190
"290","Chinstrap penguin (Pygoscelis antarctica)",201
"291","Chinstrap penguin (Pygoscelis antarctica)",197
"292","Chinstrap penguin (Pygoscelis antarctica)",181
"293","Chinstrap penguin (Pygoscelis antarctica)",190
"294","Chinstrap penguin (Pygoscelis antarctica)",195
"295","Chinstrap penguin (Pygoscelis antarctica)",181
"296","Chinstrap penguin (Pygoscelis antarctica)",191
"297","Chinstrap penguin (Pygoscelis antarctica)",187
"298","Chinstrap penguin (Pygoscelis antarctica)",193
"299","Chinstrap penguin (Pygoscelis antarctica)",195
"300","Chinstrap penguin (Pygoscelis antarctica)",197
"301","Chinstrap penguin (Pygoscelis antarctica)",200
"302","Chinstrap penguin (Pygoscelis antarctica)",200
"303","Chinstrap penguin (Pygoscelis antarctica)",191
"304","Chinstrap penguin (Pygoscelis antarctica)",205
"305","Chinstrap penguin (Pygoscelis antarctica)",187
"306","Chinstrap penguin (Pygoscelis antarctica)",201
"307","Chinstrap penguin (Pygoscelis antarctica)",187
"308","Chinstrap penguin (Pygoscelis antarctica)",203
"309","Chinstrap penguin (Pygoscelis antarctica)",195
"310","Chinstrap penguin (Pygoscelis antarctica)",199
"311","Chinstrap penguin (Pygoscelis antarctica)",195
"312","Chinstrap penguin (Pygoscelis antarctica)",210
"313","Chinstrap penguin (Pygoscelis antarctica)",192
"314","Chinstrap penguin (Pygoscelis antarctica)",205
"315","Chinstrap penguin (Pygoscelis antarctica)",210
"316","Chinstrap penguin (Pygoscelis antarctica)",187
"317","Chinstrap penguin (Pygoscelis antarctica)",196
"318","Chinstrap penguin (Pygoscelis antarctica)",196
"319","Chinstrap penguin (Pygoscelis antarctica)",196
"320","Chinstrap penguin (Pygoscelis antarctica)",201
"321","Chinstrap penguin (Pygoscelis antarctica)",190
"322","Chinstrap penguin (Pygoscelis antarctica)",212
"323","Chinstrap penguin (Pygoscelis antarctica)",187
"324","Chinstrap penguin (Pygoscelis antarctica)",198
"325","Chinstrap penguin (Pygoscelis antarctica)",199
"326","Chinstrap penguin (Pygoscelis antarctica)",201
"327","Chinstrap penguin (Pygoscelis antarctica)",193
"328","Chinstrap penguin (Pygoscelis antarctica)",203
"329","Chinstrap penguin (Pygoscelis antarctica)",187
"330","Chinstrap penguin (Pygoscelis antarctica)",197
"331","Chinstrap penguin (Pygoscelis antarctica)",191
"332","Chinstrap penguin (Pygoscelis antarctica)",203
"333","Chinstrap penguin (Pygoscelis antarctica)",202
"334","Chinstrap penguin (Pygoscelis antarctica)",194
"335","Chinstrap penguin (Pygoscelis antarctica)",206
"336","Chinstrap penguin (Pygoscelis antarctica)",189
"337","Chinstrap penguin (Pygoscelis antarctica)",195
"338","Chinstrap penguin (Pygoscelis antarctica)",207
"339","Chinstrap penguin (Pygoscelis antarctica)",202
"340","Chinstrap penguin (Pygoscelis antarctica)",193
"341","Chinstrap penguin (Pygoscelis antarctica)",210
"342","Chinstrap penguin (Pygoscelis antarctica)",198
